Note,TDS 1002C-EDU - 14:21:28   11/03/2019,,240.12000859E-3,-512.000024319E-3,,Note,TDS 1002C-EDU - 14:21:28   11/03/2019,,240.12000859E-3,-19.9999996E-3,
,,,240.14000595E-3,-512.000024319E-3,,,,,240.14000595E-3,-39.99999911E-3,
,,,240.16000330E-3,-504.000008106E-3,,,,,240.16000330E-3,-19.9999996E-3,
,,,240.18000066E-3,-504.000008106E-3,,,,,240.18000066E-3,0.0,
,,,240.20001292E-3,-504.000008106E-3,,,,,240.20001292E-3,-19.9999996E-3,
,,,240.22001028E-3,-504.000008106E-3,,,,,240.22001028E-3,-19.9999996E-3,
,,,240.24000764E-3,-504.000008106E-3,,,,,240.24000764E-3,-39.99999911E-3,
,,,240.26000500E-3,-504.000008106E-3,,,,,240.26000500E-3,-19.9999996E-3,
,,,240.28000236E-3,-512.000024319E-3,,,,,240.28000236E-3,-19.9999996E-3,
,,,240.29999971E-3,-504.000008106E-3,,,,,240.29999971E-3,-19.9999996E-3,
,,,240.32001197E-3,-504.000008106E-3,,,,,240.32001197E-3,-19.9999996E-3,
,,,240.34000933E-3,-504.000008106E-3,,,,,240.34000933E-3,-19.9999996E-3,
,,,240.36000669E-3,-512.000024319E-3,,,,,240.36000669E-3,-19.9999996E-3,
,,,240.38000405E-3,-512.000024319E-3,,,,,240.38000405E-3,-19.9999996E-3,
,,,240.40000141E-3,-512.000024319E-3,,,,,240.40000141E-3,-19.9999996E-3,
,,,240.41999876E-3,-512.000024319E-3,,,,,240.41999876E-3,-19.9999996E-3,
,,,240.44001102E-3,-504.000008106E-3,,,,,240.44001102E-3,0.0,
,,,240.46000838E-3,-512.000024319E-3,,,,,240.46000838E-3,0.0,
,,,240.48000574E-3,-504.000008106E-3,,,,,240.48000574E-3,-19.9999996E-3,
,,,240.50000310E-3,-512.000024319E-3,,,,,240.50000310E-3,-19.9999996E-3,
,,,240.52000046E-3,-504.000008106E-3,,,,,240.52000046E-3,-19.9999996E-3,
,,,240.54001272E-3,-504.000008106E-3,,,,,240.54001272E-3,-19.9999996E-3,
,,,240.56001008E-3,-504.000008106E-3,,,,,240.56001008E-3,-19.9999996E-3,
,,,240.58000743E-3,-512.000024319E-3,,,,,240.58000743E-3,-19.9999996E-3,
,,,240.60000479E-3,-504.000008106E-3,,,,,240.60000479E-3,-19.9999996E-3,
,,,240.62000215E-3,-512.000024319E-3,,,,,240.62000215E-3,-19.9999996E-3,
,,,240.63999951E-3,-512.000024319E-3,,,,,240.63999951E-3,-19.9999996E-3,
,,,240.66001177E-3,-512.000024319E-3,,,,,240.66001177E-3,-19.9999996E-3,
,,,240.68000913E-3,-512.000024319E-3,,,,,240.68000913E-3,-39.99999911E-3,
,,,240.70000648E-3,-512.000024319E-3,,,,,240.70000648E-3,-19.9999996E-3,
,,,240.72000384E-3,-512.000024319E-3,,,,,240.72000384E-3,-19.9999996E-3,
