,,,216.60000086E-3,152.00001001E-3,,,,,216.60000086E-3,-179.99999225E-3,
,,,216.63999557E-3,152.00001001E-3,,,,,216.63999557E-3,-179.99999225E-3,
,,,216.68000519E-3,152.00001001E-3,,,,,216.68000519E-3,-159.99999642E-3,
,,,216.71999991E-3,152.00001001E-3,,,,,216.71999991E-3,-179.99999225E-3,
,,,216.75999463E-3,144.0000087E-3,,,,,216.75999463E-3,-159.99999642E-3,
,,,216.80000424E-3,144.0000087E-3,,,,,216.80000424E-3,-179.99999225E-3,
,,,216.83999896E-3,144.0000087E-3,,,,,216.83999896E-3,-159.99999642E-3,
,,,216.87999368E-3,144.0000087E-3,,,,,216.87999368E-3,-159.99999642E-3,
,,,216.92000329E-3,144.0000087E-3,,,,,216.92000329E-3,-140.0000006E-3,
,,,216.95999801E-3,144.0000087E-3,,,,,216.95999801E-3,-159.99999642E-3,
,,,216.99999273E-3,152.00001001E-3,,,,,216.99999273E-3,-159.99999642E-3,
,,,217.04000235E-3,144.0000087E-3,,,,,217.04000235E-3,-159.99999642E-3,
,,,217.07999706E-3,144.0000087E-3,,,,,217.07999706E-3,-159.99999642E-3,
,,,217.12000668E-3,144.0000087E-3,,,,,217.12000668E-3,-159.99999642E-3,
,,,217.16000140E-3,144.0000087E-3,,,,,217.16000140E-3,-159.99999642E-3,
,,,217.19999611E-3,144.0000087E-3,,,,,217.19999611E-3,-140.0000006E-3,
,,,217.24000573E-3,144.0000087E-3,,,,,217.24000573E-3,-159.99999642E-3,
,,,217.28000045E-3,144.0000087E-3,,,,,217.28000045E-3,-140.0000006E-3,
,,,217.31999516E-3,144.0000087E-3,,,,,217.31999516E-3,-159.99999642E-3,
,,,217.36000478E-3,152.00001001E-3,,,,,217.36000478E-3,-140.0000006E-3,
,,,217.39999950E-3,144.0000087E-3,,,,,217.39999950E-3,-140.0000006E-3,
,,,217.43999422E-3,144.0000087E-3,,,,,217.43999422E-3,-140.0000006E-3,
,,,217.48000383E-3,144.0000087E-3,,,,,217.48000383E-3,-140.0000006E-3,
,,,217.51999855E-3,144.0000087E-3,,,,,217.51999855E-3,-159.99999642E-3,
,,,217.55999327E-3,144.0000087E-3,,,,,217.55999327E-3,-140.0000006E-3,
,,,217.60000288E-3,144.0000087E-3,,,,,217.60000288E-3,-140.0000006E-3,
,,,217.63999760E-3,144.0000087E-3,,,,,217.63999760E-3,-119.9999973E-3,
,,,217.68000722E-3,144.0000087E-3,,,,,217.68000722E-3,-119.9999973E-3,
,,,217.72000194E-3,152.00001001E-3,,,,,217.72000194E-3,-140.0000006E-3,
,,,217.75999665E-3,144.0000087E-3,,,,,217.75999665E-3,-140.0000006E-3,
,,,217.80000627E-3,144.0000087E-3,,,,,217.80000627E-3,-140.0000006E-3,
